,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02
1101.TW,8.010985076216052e-05,7.212584618767491e-05,7.567013147434118e-05,6.677864368644821e-05,6.745912636910786e-05,5.561298504107822e-05,5.644671773072802e-05,4.1276649493322523e-05,3.6430566802796445e-05,3.228817206252555e-05,2.6266750806252574e-05,1.6998102383348106e-05,1.6005205996939487e-05,1.6173890054683607e-05,1.5423711756035936e-05,2.538415344442328e-05,3.231477094935664e-05,2.965050410504656e-05,3.373440133373043e-05,2.8699510100565304e-05,4.5422722836912626e-05,4.676795875587481e-05,4.423210038863053e-05,4.19549208676121e-05,3.525210829239596e-05,4.1603973259805804e-05,4.089238619944799e-05,2.4904796425727228e-05,4.639558248369391e-05,5.20018760999047e-05,4.999458981522913e-05,4.208988300517363e-05,4.71170785637635e-05,4.3080820940532805e-05,4.5174376076389057e-05,4.8015401817459595e-05,3.937505754815276e-05,3.953496221271095e-05,3.351610760766622e-05,2.0607069087538958e-05,2.3274913239081882e-05,2.591210001633436e-05,2.0669556096307926e-05,2.248726577275975e-05,2.0218062897855834e-05,3.6072966540946105e-05,3.9257388424810566e-05,3.94079526470788e-05,5.022066789194111e-05,4.921857746977962e-05,4.938664044362232e-05,4.0661887711777475e-05,5.754967683484487e-05,5.5537194431524904e-05,4.5860443898166114e-05,4.8852147327647185e-05,5.5733758818180827e-05,3.824436214368674e-05,2.6517724467500493e-05,3.251413666664801e-05,3.1236765852999755e-05,2.771603287931596e-05
1216.TW,4.151779354701731e-05,4.939094976556508e-05,4.420142089930756e-05,3.969221252696698e-05,3.948588537561791e-05,3.7274666646352795e-05,3.671715731365181e-05,3.43281424595931e-05,3.3073282364490025e-05,2.700627608174892e-05,3.260044108932076e-05,2.571051529990593e-05,2.6688488241466397e-05,2.793201485414333e-05,2.6943656322048287e-05,2.6958949969800762e-05,2.8432236186047467e-05,2.4690963609492972e-05,3.0138784080956197e-05,2.9827767500860857e-05,3.0849075855797245e-05,2.7084192587731177e-05,3.052412808836522e-05,3.19244336806005e-05,3.434434693246091e-05,3.366912787473382e-05,3.618096384323147e-05,2.649786572680034e-05,3.148126913297312e-05,2.249944291437067e-05,2.2009200138000904e-05,2.228631867943694e-05,2.363486000990764e-05,2.206624605866724e-05,1.6702132322138923e-05,1.744072329671446e-05,1.596247875827993e-05,1.6643697909667808e-05,1.704630403293703e-05,1.3473601516380565e-05,1.5005118053180297e-05,1.4555509148748878e-05,1.3643914260817082e-05,1.4603760071646847e-05,1.4176087272876918e-05,1.5445516748748465e-05,1.4755301076712654e-05,1.403920476582696e-05,1.4261549223839682e-05,1.4159045599386947e-05,1.5785798210797276e-05,1.448912659854646e-05,1.3873304777625418e-05,1.0559547275297735e-05,8.958945542958509e-06,1.1696109153775934e-05,1.2371425905244373e-05,8.72846990498834e-06,9.96618386514479e-06,1.0964259521351898e-05,1.184458068275598e-05,1.116315190128201e-05
1301.TW,4.099999433451188e-05,3.90390811533031e-05,3.55306776903471e-05,3.466414526796781e-05,3.5051629108430606e-05,2.548086086418245e-05,1.9091565010651097e-05,2.5588251365345696e-05,2.8094128962856493e-05,2.4003772645042856e-05,2.1945382490341697e-05,2.2497404352007205e-05,2.0636013924647026e-05,2.87716998859369e-05,2.5631805211928268e-05,4.982268797151242e-05,8.158875680178142e-05,5.6177231300334694e-05,3.774831258059748e-05,4.326829123562027e-05,4.761570142656314e-05,4.652729854465662e-05,4.2627555514048475e-05,5.402020224296195e-05,7.80752273133578e-05,6.185470535426695e-05,6.599589344573621e-05,4.7151232010250025e-05,4.1181413650423136e-05,5.756642414239449e-05,6.0359724905300435e-05,5.213407111895089e-05,4.688626002193923e-05,5.8288709790081916e-05,8.595143527203898e-05,7.929233705061108e-05,7.69095133393736e-05,7.798097615082327e-05,6.081344289217779e-05,6.105225370068635e-05,4.624688403303993e-05,4.096333321982727e-05,4.011357766831181e-05,5.2195810051653506e-05,3.228896400547653e-05,3.2606189814008396e-05,2.5677602209687697e-05,2.9805340881182456e-05,3.274778023755083e-05,3.353598494319099e-05,3.9179979658323267e-05,3.272725978939223e-05,3.173768500162797e-05,2.937236021297881e-05,2.5805189499010323e-05,1.5240766062324385e-05,2.0415307618009513e-05,2.1936023128951955e-05,1.3844445871879133e-05,1.284011182360582e-05,1.1801937378333482e-05,1.4447282037031029e-05
1303.TW,2.4877141341008392e-05,1.9792646862672543e-05,1.988600301403983e-05,1.92380489598328e-05,2.235497935078553e-05,1.8753419846612884e-05,1.73331916281673e-05,1.6245627576296548e-05,2.0620360800371316e-05,2.0042327327091666e-05,1.3411721478015132e-05,1.4350272414664153e-05,1.1219262934075573e-05,1.1934351082206048e-05,1.1068320849362476e-05,3.169916165663875e-05,5.704995485585985e-05,4.934384635104584e-05,6.146736841876219e-05,5.072984076172086e-05,7.398284322247612e-05,6.920256565851412e-05,5.8498327227910866e-05,6.169062046014642e-05,6.926064300832798e-05,7.136717942284774e-05,6.037965211962554e-05,4.934935258380346e-05,5.0992690268649947e-05,5.6901405401267816e-05,4.797790483504382e-05,5.10493832888723e-05,5.4271112369974446e-05,5.796095012105852e-05,5.6143155939838856e-05,4.939282040781016e-05,5.4593472561081734e-05,4.077840483361257e-05,4.1852913430259096e-05,3.984392837580405e-05,3.2368194584505436e-05,2.653034616137695e-05,2.7055355349559986e-05,2.866001438083393e-05,3.9586408597671373e-05,3.053190583479247e-05,3.25323185850443e-05,5.473311173818729e-05,6.87336462754472e-05,7.182276640542177e-05,5.929980260177478e-05,5.1558661570766394e-05,4.856509361383291e-05,2.6983891229942777e-05,3.902077261748227e-05,2.403640613977598e-05,2.644135372323075e-05,2.322674989699902e-05,2.1649793877940832e-05,2.399187723500125e-05,2.1671249032339468e-05,2.2856683053438036e-05
1326.TW,3.99288766965425e-05,3.810569432973311e-05,4.183783117523269e-05,3.803096516669376e-05,3.803870505632649e-05,3.2885496660691294e-05,2.7362357360075403e-05,3.0765579246359856e-05,3.775504367642557e-05,2.66811661937058e-05,2.5184247979742983e-05,2.3957826630542175e-05,2.412984966696939e-05,1.4184330896669675e-05,1.8359254256784418e-05,4.0485005687368426e-05,6.010776239411523e-05,3.780965427988615e-05,3.2598269892745565e-05,4.255539502203974e-05,5.250668462082377e-05,4.5187229875944194e-05,4.306916981454929e-05,5.711735262894253e-05,7.34266941652519e-05,6.804148516927155e-05,6.59490434232938e-05,4.024304867005576e-05,3.984236976310613e-05,4.682667858270235e-05,4.775151172286828e-05,4.064724995803169e-05,3.866699305428782e-05,4.488508227103729e-05,3.729604126033084e-05,3.4662211103776435e-05,3.328067735794361e-05,3.423378007404632e-05,2.5788235930902335e-05,2.65945640973096e-05,1.4435067542900753e-05,1.3676297380825603e-05,1.5282013828138183e-05,2.1388522027669036e-05,2.081531123901332e-05,2.4613974170866495e-05,2.644659874419701e-05,2.814163249756774e-05,2.9355991811856137e-05,2.886910847839341e-05,3.0242481589554554e-05,2.9270912987035144e-05,2.907596566001361e-05,2.3498456048941945e-05,2.362775780459739e-05,2.0115122004574917e-05,2.0812466585364776e-05,1.875935179163221e-05,1.6598959772653232e-05,1.646424799252355e-05,1.6792290515207988e-05,1.7544812507890443e-05
1590.TW,0.0003165263253292945,0.0003364908929062104,0.0003099010663678083,0.00033660610587516365,0.0003072780410215241,0.00033026061134766685,0.00033173483932502976,0.00030590830698814576,0.0003140525195530501,0.00032609298820202644,0.00023946271199477772,0.00021096886836678174,0.0001590862185643147,0.0001636953813238644,0.00015500567354672414,0.0001822670423435324,0.0002662295620522791,0.0002480839491125579,0.00024512482656198015,0.00020689502469676716,0.0002577800821045241,0.0002907906370740683,0.0002916621136324986,0.00022561313064651734,0.00023049596308063385,0.00021851857663847713,0.00027404732513219366,0.00022416855125458992,0.00020170430542387036,0.00020559539284356574,0.0002194215553918644,0.00022188130514192635,0.0002142106276086016,0.0002162097074801275,0.0002103580265879192,0.00022268141685508188,0.00020652597115889348,0.0002187346888401671,0.00021848212065107243,0.00016641365719447483,0.00020387578458677167,0.00017621611207426044,0.00016350538583899258,0.00019897399289430027,0.00016713214845568065,0.00016760810321414293,0.00017788007003060019,0.00016804555118993898,0.00016696430485152577,0.00019556389616020453,0.0001904464647336874,0.00015613243218652617,0.00017342949205490174,0.00014326359915982646,0.000131358271027429,0.00012297966594128335,0.00012044927886745437,0.00011474226526095226,9.2055359946145e-05,0.00010198446728317185,0.00010482129770417735,9.516959787690045e-05
2002.TW,1.8740180931485364e-05,1.847383379928193e-05,1.510428193800265e-05,1.5873139962707374e-05,1.6797013099261895e-05,1.6274906243704222e-05,1.3185350627647517e-05,1.0341483922122575e-05,1.26042480903722e-05,1.0594347469848762e-05,7.57609556754261e-06,7.011252701863037e-06,7.860860117142846e-06,6.634119916175056e-06,5.981747369327663e-06,2.0106649571081782e-05,2.3107457403948757e-05,2.3092513205604785e-05,2.6222760703535503e-05,2.892651537042575e-05,3.671004115872995e-05,4.011094015725321e-05,3.128186796900929e-05,4.302915216437296e-05,5.356027499134517e-05,5.154114298386325e-05,4.217637388475148e-05,3.492883046364264e-05,0.00016059302239117428,0.00025155607645578176,0.0002419303046488674,0.0002290857992243804,0.00021785524277113805,0.0002335255793071142,0.0002568497706202222,0.0003047913755286479,0.00027248691254307247,0.0003458984503381223,0.00024983303363849003,0.00015003785033690755,8.911329751583101e-05,6.139765586759631e-05,6.628495734130075e-05,5.8757461682096375e-05,4.502890634632092e-05,4.666603095482936e-05,4.0841757947878333e-05,4.253992647097986e-05,4.8819872319654405e-05,6.353313663130576e-05,4.851968821437904e-05,4.450955617479095e-05,4.699439985570493e-05,4.06780682151524e-05,2.9346173434273765e-05,2.404447356342368e-05,2.5291742576950324e-05,2.0357543153405213e-05,2.1366065183059405e-05,2.3001515782386404e-05,2.65551888816817e-05,2.0515701394054144e-05
2207.TW,8.480228130769419e-05,7.789973319166621e-05,7.232376059100368e-05,7.866488224303849e-05,8.925553585822361e-05,0.00010222552544664238,0.00011550927873732422,0.00012079269770662063,0.00015482577577184684,0.0001508448978747804,0.00016607662077814295,0.00013868206937106103,9.937312502770459e-05,0.00012750745542745515,0.00018310055619123026,0.00021924737526944786,0.00016927807332269986,0.00016992355843514965,0.00026257057901566815,0.00022181255520462462,0.00032597233129687356,0.00027371641948100377,0.0002794892915080187,0.0002040402923480352,0.00022889529765990414,0.000327492504881618,0.0002062401797461694,0.00012170980622913529,0.00011242987485875706,9.986839770962916e-05,7.502056784142813e-05,6.278621060315828e-05,5.873685915206167e-05,5.400026187714925e-05,5.551535526003804e-05,5.1655578230427216e-05,4.4644348101680003e-05,4.247703904435983e-05,4.8481820285842566e-05,5.260469255190765e-05,5.080438684266528e-05,5.0112811009958826e-05,4.367934400219568e-05,4.486507606067358e-05,4.479234679486491e-05,4.649086622464188e-05,5.102896631034142e-05,5.313206631779067e-05,5.065420965142548e-05,4.900041327244484e-05,5.233586664206707e-05,5.0263922229669696e-05,4.725139822832742e-05,8.420760326877459e-05,0.00015091769022750832,0.00017664515549884754,6.108109668321072e-05,5.88462538335335e-05,5.992152536765762e-05,6.867435427024274e-05,5.492066464509634e-05,6.994349671154838e-05
2301.TW,4.9767046501376785e-05,5.370346400130201e-05,5.481603127422085e-05,4.75536626357658e-05,5.305046279172102e-05,4.357778674063901e-05,4.6654980762470977e-05,4.0878027947543846e-05,5.112879269214029e-05,4.40013862898814e-05,3.8009566959150677e-05,4.138461627147819e-05,3.57386146978005e-05,3.245949407953869e-05,3.394521384122769e-05,3.958660374172571e-05,4.72091913847875e-05,5.283756298122136e-05,4.789819103535159e-05,5.5904133255848025e-05,5.312622436666919e-05,4.270442459893336e-05,3.8578416715018993e-05,3.818168832282027e-05,4.122946358691719e-05,4.888860710785402e-05,5.123097619611663e-05,4.4494783903499125e-05,4.550673032343034e-05,3.8724257148230515e-05,5.046438588234454e-05,5.2041018458185066e-05,4.389225374333362e-05,4.9544132308095136e-05,4.914806137466342e-05,4.6198746341369424e-05,4.126873921242458e-05,3.813119325575795e-05,4.674537820887118e-05,3.5951387061985275e-05,3.872054892439137e-05,3.38846040385743e-05,3.595622303594134e-05,5.2265638735175105e-05,3.720020119610681e-05,3.411959999251357e-05,4.141363664092216e-05,3.955156522085701e-05,4.694594157494026e-05,4.8050010399990835e-05,3.8182719667481046e-05,4.2080672410402576e-05,3.8618528851700397e-05,4.518545868475343e-05,5.661201941499394e-05,0.00011506160795499145,0.00018371819423922288,0.00019573198116649849,0.00020062747024096538,0.00021616855585906123,0.0002097951378463261,0.0001990917945970774
2303.TW,9.503499434596115e-05,9.415119138872856e-05,0.00010084972401495226,0.00011898916754347349,0.00016698710872804144,0.00011489371337124943,9.359221648487944e-05,7.487855786281765e-05,7.50085819500171e-05,0.0001067677742973319,5.0793790647127447e-05,4.873685644684507e-05,5.3010483057148503e-05,5.926718303628481e-05,6.193732722859448e-05,6.026362728873372e-05,5.7035757881980316e-05,5.1000924914735695e-05,5.746578869737083e-05,0.00011706962726237778,0.00020493717952657062,0.0002383563795475154,0.0003602257166045891,0.00043455627701102784,0.0003365770766904785,0.0004230849307459295,0.0005844547146727111,0.00046379053115325756,0.0004986049570720476,0.00046620287830133816,0.0004132119592787603,0.00032743595314545,0.00030866505884060265,0.0002897786695302437,0.00022584215506325284,0.00021196066709582703,0.00018280515853165912,0.0001817953073783474,0.00019433662072975148,0.00012634912861177321,0.0001451250700561793,0.00011743764249286652,0.00012059227071363612,0.0001158556313378641,0.00010609293672392864,0.00011659615449603293,0.0001064022400256734,0.00011975106584292722,9.752991153672396e-05,0.0001043540374510127,0.00010309582880799381,9.438700444052441e-05,9.474553646428959e-05,7.721729929737592e-05,7.355362739193111e-05,8.321335486076647e-05,6.725977476863517e-05,6.547236404779618e-05,6.050564072390483e-05,4.093886510990645e-05,4.3282809513335376e-05,3.8080342925787235e-05
