,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02
1101.TW,0.050186723,-0.00013315678,0.069082856,0.039316118,0.052510858,0.059851825,0.03620538,0.076559275,0.055617124,0.0020831823,0.0030460656,0.021519274,0.0121032,0.035241604,0.030436754,0.05472946,0.01671049,0.036676347,0.048664868,0.017519027,0.05882466,0.0102314055,0.03795287,0.02684182,0.01753968,0.061193258,0.0370996,0.040775716,-0.0069335103,0.03554946,0.015497595,0.04302889,0.020131975,0.091121346,0.036436707,0.021771163,-0.02403307,0.10918617,0.04275182,0.024416536,0.021244407,0.050453067,-0.046669245,-0.015267491,0.029935032,0.033486545,0.048444986,0.027351141,0.023277909,0.0028966367,0.04259965,0.052554816,0.027602524,-0.011032939,0.06176597,0.024841934,0.020420343,0.04388818,0.045737207,-0.015524149,-0.015571296,0.010817617
1216.TW,0.0041494668,0.038978457,0.069233775,0.0014333427,0.008948892,0.065745294,0.06678426,0.010962129,0.033585787,0.008964539,-0.02532816,0.00022467971,0.023218066,0.016752303,0.00608328,0.027972877,0.034543633,0.008408964,0.028414577,0.015107006,0.0669117,0.066134095,0.013682187,-0.015042126,-0.004439175,0.0096690655,0.025793344,0.012490094,0.014859021,0.029294431,0.011381239,0.012096792,0.007765442,0.013705552,0.005114615,0.014430404,0.009875238,0.017849326,0.048232347,0.0036780536,-0.0050479174,-0.007496834,0.00988394,0.026520818,0.046654224,0.011795372,0.03144467,0.02502349,0.00022256374,0.018850237,-0.0013410449,0.0283598,0.05329916,0.05274728,0.047860682,0.03800696,0.019590318,0.015199155,-0.012588978,0.031408936,-0.0029428005,0.017722338
1301.TW,0.016877413,0.011871904,0.056727797,0.035824448,0.028568178,0.063697785,0.023568809,0.035770565,0.035806417,-0.044221282,0.0047836304,0.012394905,0.0074730515,0.025405169,0.004648179,0.04455647,-0.020391643,0.13796452,0.054480493,0.010274321,0.014370292,0.023780048,0.015536845,0.038775325,0.04525867,0.024671555,0.01788348,0.060821652,0.06470004,0.071540594,0.020573765,0.072914094,-0.011384189,0.028295994,0.09814671,0.0741106,0.17665505,0.09489155,0.08490971,0.03180948,0.0048999786,0.03631434,0.008747518,0.051428407,-0.0043619275,-0.0072802305,-0.041205704,0.0064923763,-0.0059936047,-0.01798129,0.013983637,0.009790003,0.03025353,0.0024859905,0.060360998,0.016083837,0.03722191,0.011102855,0.017656058,0.007994443,-0.022806764,0.019451141
1303.TW,0.0109368265,-0.0050650835,0.024011075,0.008620024,0.013979614,0.027139723,0.005817294,0.036917984,0.022523552,-0.031458855,0.00799337,0.012474209,0.013768941,0.011044353,0.0046424866,0.042880714,0.019313067,0.05243483,0.06528863,-0.004227698,0.04143426,-0.005467117,-0.0013986826,0.014876127,0.04257232,0.0314613,0.042552173,0.04397291,0.035329282,0.078367054,0.018979013,0.041569978,-0.018932104,0.056319475,0.04038489,0.04985264,0.004341364,0.014881164,0.007108152,0.021641672,0.045482785,0.03626156,0.023550808,0.01692763,0.018660456,-0.012154043,-0.0061898828,0.025307298,0.05120316,0.021155268,0.01522541,0.009752452,0.030880123,0.0182634,0.07782343,0.046637326,0.014959663,0.020693332,0.04241374,0.028310627,-0.0075092316,-0.0010674
1326.TW,0.03158903,0.023219228,0.024359852,0.03419152,0.007209718,0.047736257,0.02302304,0.027240932,0.022732109,-0.053030252,0.0024033189,-0.0016336441,-0.0013617277,0.025283724,-0.00083744526,0.04349342,-0.04394257,0.03738427,0.044102937,0.04292819,0.0125468075,-0.0010749102,0.01892513,0.006943077,0.08345726,0.020559043,0.0077930987,0.035752,0.0660615,0.060794473,0.016630203,0.06359157,-0.0042841434,0.027105242,0.04913211,0.07909927,0.01941511,0.01741749,0.042759925,0.0025731623,-0.0009215474,0.00407511,0.013640285,0.0036613643,-0.0047658086,-0.027044237,-0.020762563,-0.006691456,0.00433141,-0.031572163,-0.01320231,0.00071004033,0.007236421,0.0024778545,0.005304545,0.033864766,0.019879818,0.026946396,0.028696656,0.022012174,-0.018635988,0.010542303
1590.TW,-0.05848956,0.10629222,0.20731816,0.031224787,0.06965566,0.053858906,0.016359836,-0.07480705,0.08993241,0.08402464,0.067064315,0.05735272,0.07211986,0.056321055,0.08693147,0.14561069,0.09222609,0.123055935,0.0748499,0.038606435,0.13651669,0.12952861,0.0070991516,0.13248071,0.100084335,0.19811195,0.11074141,0.10588381,0.22763848,0.15548432,-0.048750818,0.1779508,0.17417496,0.13239846,0.056744546,0.048896015,0.024990529,0.054873526,0.017776519,0.038869083,0.065048724,-0.10291886,0.041932136,0.039829314,-0.030989468,0.06810972,0.051386535,-0.017173886,0.10734901,0.014673412,0.03926006,0.06352654,0.13760203,0.06141299,-0.034719408,0.046021223,0.0044098496,0.068924606,0.13486546,0.045870155,0.080269635,0.05467525
2002.TW,0.04870504,-0.0072939396,0.028105676,0.033940703,0.004443288,0.047623456,0.019220948,0.0018631518,0.0058434904,-0.0032954812,0.00041529536,0.00545913,0.009224743,0.010043055,-0.011128664,0.030710876,0.004643917,0.012951434,0.011419177,0.006320715,-0.0038163662,0.014257312,0.01744324,0.016850024,0.069723696,0.04704833,0.08435431,0.05661899,0.21285209,0.15423405,0.029825747,0.031919807,0.024985641,0.06704849,0.097979814,0.02807939,0.003212005,0.12611282,0.04170367,0.021569043,0.011620551,0.016261816,0.010860771,0.007816285,0.09186357,0.027251154,0.025301665,0.04514748,-0.04098755,-0.0051540136,-0.019037247,0.00085771084,-0.0119767785,-0.036607802,0.002439022,-0.0050107837,0.04850614,0.088608384,0.025943935,0.01943621,-0.013155282,0.022063255
2207.TW,0.095700145,0.04588002,0.12865138,0.20483845,0.13333175,0.25607195,0.18857849,0.14571834,0.053287297,-0.07269102,0.13326564,0.104320705,0.15036747,0.026290923,0.07001665,0.12684488,0.056268096,0.13358817,0.097099125,0.130263,0.14789292,0.06762648,0.059600443,0.056120485,0.043914348,0.07864523,0.069266826,0.0048119724,-0.025143981,0.022319794,-0.061225355,0.056492746,0.08633277,0.027806431,0.031100392,0.031013131,0.0024666786,0.01769197,0.03135732,0.038874477,0.046505004,0.037358552,0.052280158,0.049399376,-0.009538293,0.043563813,0.017980367,0.012032479,0.049972773,0.015506089,0.014987946,-0.009268165,0.044354916,0.10265651,0.2269685,0.1572622,0.090619236,0.04496169,0.077340454,0.049265057,-0.03645408,0.037298292
2301.TW,0.021660835,0.05984226,0.11167881,0.09756404,0.018950194,0.08512586,0.017141104,0.008920699,0.066209614,0.046764106,0.049303353,0.054165572,0.069924176,0.075164944,0.09713787,0.034223914,0.016742975,0.045037895,0.019879699,-0.0005645156,0.01588893,-0.013001204,0.003611505,0.019743323,0.011583924,0.04799819,0.093449175,0.034997374,0.09531191,0.11079541,0.050633192,0.017068356,0.022362888,0.026604325,0.0292947,0.029920071,-0.01846975,0.015518516,0.03535813,0.04799804,0.039871544,0.038028628,0.016171217,-0.038794637,0.10195336,0.009383112,0.0037325323,0.07200703,0.024926722,-0.010249078,0.0330877,0.06604874,0.054201186,0.03889197,0.23669526,0.3122751,0.1285272,0.23073459,0.10335505,0.13983938,0.19804296,0.13328323
2303.TW,0.023536026,0.024077803,0.031209081,0.0075719953,0.0072565973,0.042690754,0.086512566,0.017640203,0.0735949,0.019753724,0.0038793087,0.02416408,0.09896129,0.077133924,0.049474627,0.063179284,-0.030258417,0.027303964,0.023077965,0.087091744,0.18134376,0.20173001,0.14621979,0.19405863,0.39553928,0.4247682,0.1904735,0.38465694,0.06285912,0.04163736,-0.013230264,-0.045927346,0.003087163,0.10506499,0.14476377,0.16420364,0.025069177,0.09354651,0.14483929,-0.04513991,0.075528115,0.016120821,0.061256588,0.07844314,0.032724738,0.017726988,0.08469722,-0.100105464,0.049003124,-0.030214787,-0.0073843,0.032297373,0.115784526,-0.019211352,0.0018841326,0.013257861,0.022686154,0.06907958,0.08219287,0.03289348,-0.0017964244,0.009211957
