,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02
AAPL,6.839044535528421e-05,6.113587632193147e-05,7.374783262536848e-05,7.834240336380074e-05,6.589115332816318e-05,7.925525175591241e-05,8.215139690766752e-05,8.20654643579503e-05,8.161717398527333e-05,6.23648310262188e-05,6.49320474727124e-05,7.264348864327174e-05,5.732186924561877e-05,5.3795308496866205e-05,6.388223331368098e-05,7.612564756684615e-05,0.00010014735392976771,8.153717482886264e-05,8.995161714276501e-05,0.00010620461692788927,0.00011045093432006218,0.00015682754645058095,0.00014318549321149838,0.0001526457220717918,0.00016131350014643903,0.00015913041114110115,0.00013372062925457435,0.00014539189970759389,0.0001397316989611662,0.00011768767963221079,0.00012069097101831435,0.00014225682545405426,9.978798660024467e-05,9.577366844942208e-05,7.286531679982214e-05,6.254103106658408e-05,5.790664218543307e-05,6.695829476106437e-05,7.832280081002863e-05,8.49256486017394e-05,6.905898536438053e-05,6.826457244219804e-05,6.799352554810505e-05,7.661722920630509e-05,7.827435795586366e-05,7.318571222749513e-05,9.225131484122484e-05,6.319778844487665e-05,7.044300748752512e-05,8.37585360270608e-05,7.58288813901932e-05,8.392876423376733e-05,7.54762309933823e-05,8.020244898602971e-05,7.420088051851842e-05,6.0157375161899465e-05,7.235891076516126e-05,7.032272477900993e-05,5.083545129125624e-05,4.7280951791039105e-05,3.602171307216351e-05,2.879335187820631e-05
ABBV,0.0001005033523921961,9.629544021634917e-05,8.857947235380656e-05,8.938486440670837e-05,8.388466421542023e-05,7.141261625789794e-05,7.634000340769858e-05,6.822947510529864e-05,7.071420411462268e-05,9.447721334648503e-05,7.16128170842689e-05,5.640230618162421e-05,4.569437771997001e-05,4.8225975507037704e-05,5.717455179601416e-05,7.980318156808886e-05,8.205172350818e-05,9.148980589622133e-05,9.220759168692944e-05,8.523147701193627e-05,8.338573192851126e-05,7.317338333954046e-05,6.988601543332479e-05,0.0001051435590296124,8.763877085378687e-05,8.798515284690232e-05,0.0001089253562187103,5.870297883824058e-05,5.545449686372097e-05,5.956766146876122e-05,4.8015232269714415e-05,4.701984338865908e-05,5.316824998159257e-05,4.6140809787844076e-05,4.873199342500065e-05,4.147876162017078e-05,4.178402638047299e-05,4.171320216835878e-05,4.550936523111739e-05,4.537148080515967e-05,5.42426661186389e-05,5.5540540316529345e-05,5.06752941551692e-05,4.883205234590281e-05,4.51130866203016e-05,4.7054146922512426e-05,5.2644654609439394e-05,5.690736668853241e-05,4.64518526993244e-05,4.8158949382646285e-05,5.6883292022667574e-05,5.2039311056113654e-05,4.628831086007547e-05,4.6806444576213576e-05,4.617122494892401e-05,4.6618439957678626e-05,4.7480059729453486e-05,3.503821591844701e-05,3.527243067775336e-05,4.431868460826378e-05,4.944998121930446e-05,4.122561989720673e-05
ABT,4.030216292608604e-05,4.5020902854431746e-05,3.9765306481112315e-05,3.52632647788164e-05,3.932812768301895e-05,3.853454577628426e-05,4.083666821483593e-05,3.9483843761570705e-05,5.0261592167844605e-05,5.176325831908829e-05,4.817514924828693e-05,4.683320438236597e-05,3.0097228892556354e-05,3.0453797539111956e-05,4.464941938480694e-05,5.2030648269468124e-05,8.651585513975814e-05,9.29702377128323e-05,9.835804856566822e-05,9.44123689820837e-05,9.355751561821587e-05,0.00010454797214536073,0.00010956922568144518,0.00011350845851788356,0.00012118423298584035,0.00011417608430395428,9.64728218999744e-05,8.26506605831595e-05,5.864296845465813e-05,5.5811937677310355e-05,6.619146227476835e-05,5.2554288318763326e-05,5.760752468665286e-05,6.30730395284387e-05,6.163653933537025e-05,4.075765277998452e-05,5.065117578089535e-05,5.7950970811215454e-05,6.084686988295911e-05,5.931362616975669e-05,6.486629698889657e-05,6.1392674165715e-05,7.196716989209942e-05,6.257756329665958e-05,6.722410171157089e-05,6.45167116257512e-05,5.9528349125149915e-05,6.834796013323655e-05,5.548723040660828e-05,4.906930379840363e-05,5.6209788460446574e-05,5.325967898332948e-05,5.893976196082323e-05,6.340339489886884e-05,5.4500051213608505e-05,5.4087026757139695e-05,5.452168089058104e-05,4.5200943815094066e-05,4.0916497075732794e-05,3.953965901708148e-05,4.709382315185646e-05,4.2194537043083564e-05
ACN,3.0784649252027156e-05,3.900424599768188e-05,3.304261142075235e-05,3.634381417176252e-05,4.2126520062377226e-05,3.738809909744319e-05,3.8674957117001326e-05,3.829900653049531e-05,3.898450221266746e-05,4.179767949046581e-05,4.088836739655956e-05,3.520230374994469e-05,2.2753263280247285e-05,1.6297079875237412e-05,3.166080556735451e-05,3.562774914621083e-05,7.281027842340732e-05,6.822050750298314e-05,8.279712355413794e-05,6.473205491597485e-05,5.9100989912488975e-05,7.005440418423517e-05,5.879063687870161e-05,7.185975792127032e-05,7.20702593390585e-05,7.29603700141254e-05,6.328091884505277e-05,5.0641637491717e-05,4.5433487054322746e-05,4.1721648404178774e-05,4.011458325316544e-05,3.549064464983612e-05,3.643764886679355e-05,3.682913941112185e-05,3.387085705387918e-05,2.5499774095877646e-05,4.8457187841936565e-05,5.6489996730851007e-05,5.176477738500337e-05,6.77862889627684e-05,7.453064405010839e-05,7.227472163091704e-05,7.537489496713451e-05,7.991561406829815e-05,6.832420854333002e-05,7.692249956226915e-05,9.100738559659557e-05,7.26880940812381e-05,7.288138658158136e-05,6.194052859025015e-05,5.221003191286898e-05,5.9348625284842955e-05,6.690602386115056e-05,6.333688105957608e-05,6.432965168436713e-05,6.92957002619239e-05,5.680995109731915e-05,5.4225777432727695e-05,5.0472195918236625e-05,4.6695960539113125e-05,4.460267000823833e-05,4.277958121064753e-05
ADBE,8.752766878091532e-05,8.154320945067878e-05,7.978793666464465e-05,7.618897894396561e-05,7.870014683599606e-05,7.885065171906875e-05,8.648666693612453e-05,7.709110410322268e-05,8.240920551009847e-05,7.13675986317457e-05,6.260271915725688e-05,6.030912575177597e-05,5.8062659923839974e-05,4.15892148434939e-05,4.853253804915151e-05,7.703977345733109e-05,9.990952581647286e-05,0.00010150346123635149,0.00011893178804969152,0.0001171815022787378,0.00011138914127857711,0.00012812441515916081,0.0001175996316067547,0.00012503660116045085,0.00012682626176590295,0.00012505504995458393,0.00011560052202130706,9.985030836641923e-05,9.14157601184037e-05,9.390814887484368e-05,0.00010237370440798929,0.0001091055869632735,6.524308619430222e-05,6.960166582441959e-05,7.634832372928013e-05,7.136792519914672e-05,0.00014494106150015427,0.00013198776060724212,9.377187941267763e-05,9.956408292905868e-05,0.00010652224558690255,0.00011766999190348405,0.00013028070910746037,0.0001369005713824414,0.0001331937242073764,0.00017900886857521065,0.00017648480022854743,0.0001548885094625953,0.0001580805914462067,0.00015152198309596743,0.00013466383432744094,0.00014200007554553801,0.00013242012503608816,0.0001187633673872038,0.00016528595547328379,0.00021240443550090421,0.0001484044063183193,0.00013835364062033602,0.00013052305425844264,0.00011570089656834975,0.00010982173736545863,0.00010752086881089329
AMD,0.0005586511862600449,0.00044244828056370943,0.0005324347962170635,0.000527465495363132,0.0005601237941515641,0.00043010704801597254,0.00040182957915145827,0.0003742647681718312,0.00036524505255845687,0.0003456322203507937,0.00027624517184318795,0.000267278300277046,0.00020436944735578887,0.00020563444374895146,0.00017733211022301557,0.0001843640904178578,0.00024535128094309246,0.00024145821399796307,0.00021294359674504088,0.0003357776648975247,0.0002508692512711498,0.00037626530867972607,0.00039895813838847146,0.0005047877346070894,0.00035732869984886936,0.0003353750611562791,0.00037379236847283413,0.0003605065406129158,0.0004387068736011881,0.0003472901590493268,0.00019088879528612236,0.00016146043237758379,0.00014804451537174981,0.00013446595336305154,0.00014218610489402195,0.00019313050537928398,0.00022156028738070646,0.00022596839239712524,0.0002690476804173977,0.00028506719772367073,0.0002880510036495732,0.00024311172593225865,0.00030108514710230346,0.0002763612743804224,0.00027984293141171044,0.0003217728192241948,0.00041692138164909585,0.00038276611319761257,0.0004008448085330878,0.00029156393953018087,0.0003453539772521414,0.00034783750542434586,0.00039526041089911506,0.000358436024881756,0.0003825744780605141,0.00030156970628018723,0.0003234044356394294,0.0002669421655822193,0.00025577946688139957,0.00022637809679841692,0.00026630149945348317,0.0002566788984587067
AMZN,9.944339474268834e-05,0.00010081026885957553,7.966383392869815e-05,8.989706218402984e-05,8.984539144539108e-05,9.197967570177346e-05,0.00010215039974214627,9.188371527629166e-05,8.90126573641849e-05,8.74008345713153e-05,5.37891797119838e-05,4.867037926704322e-05,3.58580856990938e-05,3.445904420009914e-05,4.7489751245620324e-05,5.0222256074738055e-05,9.431404319265536e-05,6.209920185078553e-05,8.111951620871012e-05,9.413164043323639e-05,0.00010038235982065933,0.00012005816197504597,0.00011765717341899104,0.00012889168865542022,0.00011820920793626159,0.00011256128446126045,0.0001239273493175943,8.701886768747005e-05,8.20836162028755e-05,8.077882776042397e-05,7.41079138309632e-05,8.274174755531736e-05,7.441538542411806e-05,6.523404383903216e-05,5.0113892456466956e-05,4.667681749229392e-05,4.8682398253253894e-05,7.334913887568452e-05,7.237325049577373e-05,8.097562547544772e-05,0.00011621252636027736,0.00012972224553405286,0.0001392484695329149,0.00016034275912296737,0.00015148424027286987,0.0001554918582698,0.00020201999055910762,0.00016774403720788648,0.00018015964905880306,0.00018396576676260265,0.0002470435958668402,0.00016449739040806047,0.0001276343415032806,0.00013645167970681373,0.00013416016701573824,0.0001154083470872834,0.0001339615339483528,0.00010404669202134806,9.978761649836332e-05,9.730682297059076e-05,0.00010102886558632906,7.102949024456189e-05
ASML,8.780272629221562e-05,9.294718963641484e-05,9.097025341149951e-05,8.339344115663562e-05,8.35639386191592e-05,8.501771858833707e-05,8.415612993616245e-05,8.503495091010887e-05,8.016071766720643e-05,8.597052385764633e-05,8.515181014811988e-05,8.212086450590555e-05,6.927649682642916e-05,6.274878164143664e-05,5.8952146547698294e-05,8.274335642287734e-05,0.00013850793553369905,0.00014608974534402436,0.00015259855308810436,0.00019552758724468094,0.00013578007618132373,0.00014258698939045497,0.0001462719729541004,0.00015513908490055208,0.00015646030925866049,0.0001572384598491215,0.00014526636146739528,0.00012604326898576901,0.00012287241630201868,0.00010347993364157912,9.674347399668396e-05,9.466465529522053e-05,8.036399051001303e-05,0.00010786593050022807,0.0001149784231425666,9.526220037415204e-05,0.00010829550906652746,0.00010538770061512084,0.00012885354655041995,0.00010463677536142999,0.0001404415798528772,0.00014609373432274687,0.00014808683802339565,0.00018116530289524413,0.00016979335680047087,0.00016896416192222483,0.00020840784923379925,0.0002576496157895977,0.0002386970555958143,0.0002087570644813922,0.0002118821396644918,0.00020588249076531912,0.00023773624764542313,0.000216822322956135,0.00023214855171710855,0.00021915207422314745,0.00023846521148582144,0.0001699393454445336,0.00012886867406534608,8.460393730862117e-05,9.139477740272195e-05,8.981361177365038e-05
AVGO,0.0001308617196332808,0.00012250734515322994,0.00010828848604693408,0.00013335841841847075,0.00014637581644112724,0.0001614842681430674,0.00011654599049394418,0.00011740984791160425,0.00012203490656642785,9.988270467987122e-05,8.802229220045768e-05,7.358770015581707e-05,7.604468731489863e-05,6.450649760222488e-05,7.639191343738035e-05,9.306695688783116e-05,0.00013950094546991246,0.0001399966574074054,0.00015935244325099686,0.00020760946505899493,0.00012057641633827156,0.00012608150110094983,0.00011866221071962881,0.0001238773122119269,0.0001234352645125983,0.00011143068558911052,0.00013298991766081615,6.516608979318331e-05,6.378184486953522e-05,6.523679840562893e-05,6.388515933456563e-05,6.248364639383309e-05,5.012013613012088e-05,5.080226290891921e-05,5.2608018207432356e-05,4.5711702522823365e-05,5.650418513807359e-05,6.615065676316974e-05,7.139687353914326e-05,9.96238041871426e-05,8.535782266786288e-05,8.492078698867329e-05,9.44476032222808e-05,9.654859766740772e-05,0.00010100678862525386,8.983764715354626e-05,0.00012015771907884121,0.00013172028353866473,9.786914347177447e-05,8.761827052256777e-05,7.790064812725875e-05,7.479774475230938e-05,7.226448691229472e-05,0.0001197117929712355,0.0001691061338020861,0.00013439579319518408,0.00015783710391576895,0.00015243632761854697,0.00013979953895024196,0.00013601172252841693,0.00014364175506409837,0.00013187156999639891
BAC,4.399304527616076e-05,5.3906215568206496e-05,5.797272082512804e-05,4.9616586810452254e-05,5.0298946867894094e-05,5.49628270691125e-05,5.4292480360454784e-05,4.338965986466556e-05,5.690854105201652e-05,5.584736521911535e-05,5.0192045112909566e-05,5.4627444644756626e-05,4.786425349817641e-05,3.815702964990735e-05,4.4730886373515384e-05,0.0001244488452240867,0.0001411351266658538,0.00014963596064852464,0.00018562668614502823,0.000235401768209157,0.000174492070871958,0.00017820683406511952,0.00015624049174854622,0.00020879241242665196,0.00018029073248956536,0.00020582412895963294,0.00016456559381518708,0.00011432294747175266,0.00013364051266327278,9.803803964107638e-05,8.361174228499218e-05,8.36930073412727e-05,7.182651543992649e-05,7.444717540873357e-05,6.693981959157263e-05,6.000159520947246e-05,7.226178627269037e-05,6.515702304304096e-05,5.7702359198247756e-05,8.092525686485822e-05,6.723426364423933e-05,8.470933865813564e-05,9.909738726068508e-05,8.76956032263159e-05,6.271032114483157e-05,7.443125229808317e-05,8.663616007906479e-05,7.48183907626729e-05,8.66374698857027e-05,8.981572308787012e-05,7.552682089447113e-05,9.599834865850818e-05,8.178583182956003e-05,7.603968873093259e-05,9.988547226274938e-05,0.0001115638018970564,0.00010628094716189734,9.067004474008162e-05,7.977745692637115e-05,8.420319499660775e-05,6.761795403637833e-05,6.182821481091827e-05
