,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02
AAPL,0.07563576,0.00025761127,0.031000435,0.067385375,0.070818186,-0.009725928,0.01179719,-0.05415237,0.03866425,0.035883576,0.07812306,0.08562812,0.04722631,0.112006575,0.029071331,0.12844166,0.10423574,0.085502446,0.13508287,0.08639541,0.19402134,0.028518856,0.22769994,0.2405793,-0.0018167496,0.07649848,0.124999434,0.061899066,0.00087851286,0.03791088,0.07166085,0.09343606,-0.0057228804,0.054513633,0.008618742,0.037688315,0.07850483,0.015106291,0.040550083,0.009475291,0.02711761,-0.027365327,0.06939727,0.00013756752,0.061716676,0.050792545,0.042516857,-0.068374276,0.14037317,-0.06757456,0.017742306,0.03504476,0.051321834,0.075886816,0.034362346,0.052862078,0.021504045,0.022390306,0.04988134,-0.041934907,0.005397886,0.0011557937
ABBV,0.038671225,0.07956207,0.006818235,0.011841416,-0.0011259913,0.0011367798,-0.023480177,0.049868613,-0.040311575,-0.005903721,0.058641016,0.0935114,0.10819805,0.090705395,0.07374731,0.10077271,0.09290245,0.03779617,-0.013822854,0.02453503,0.02258432,-0.030376017,-0.0034541488,0.023179471,0.009567082,0.008648545,0.042701125,0.051341146,-0.01656729,0.023232639,0.010035694,0.001696378,0.010539502,0.028475702,-0.022497892,0.022873819,0.06859848,0.09132025,0.0524289,0.12128484,0.080762684,0.0763365,0.061436683,0.029006034,0.0556345,0.049050897,-0.032024562,0.028160065,0.06450382,0.040100187,0.014791429,-0.014769614,0.025393665,0.058346033,0.035336286,0.0049158633,0.027899414,0.032362014,0.070951104,-0.006968677,0.058785856,0.083782345
ABT,0.04412955,0.01373291,0.026981682,0.047240168,0.033015788,0.07335767,0.03399402,0.0051644742,0.031423837,0.054285467,0.037114948,-0.01647079,0.023654997,0.026181877,0.04320848,0.049979597,0.008335143,-0.01648873,-0.017273962,0.017284304,0.06639588,0.0428288,0.06571376,0.04572487,0.023947299,-0.0047899485,0.06783277,0.08835715,0.03515452,0.040409416,0.075348824,0.03324479,0.098122835,-0.017903447,0.007217586,-0.009593964,0.028849691,0.027587414,0.041858405,-0.0035312772,0.04827571,0.012480944,0.00324291,-0.018960953,-0.027704537,0.058171034,0.010333091,0.007373631,0.027613819,0.039150506,0.063804656,0.016527623,-0.062482297,0.015270054,0.022785127,0.030338585,0.024765223,0.039792567,0.08786735,0.005289048,-0.005660832,0.056494117
ACN,0.03417608,0.02452904,0.031380832,0.03623748,-0.0005643368,0.060804784,0.04244536,0.0031583905,0.02188775,0.04246372,0.04747644,0.0122356415,0.056377202,0.0036243796,0.03402096,0.03928578,0.016863942,0.043991297,0.05078131,0.09064716,0.056809008,-0.01413995,0.0726895,0.007144332,0.01171127,0.08504012,0.105066806,0.0578292,0.034177274,0.031063586,0.0018598437,0.054560095,0.042585522,0.10935795,0.033848256,0.020972222,0.030153006,0.065829605,0.09884587,-0.028432012,0.012816519,-0.042523324,0.07524511,-0.030549645,0.019586653,0.10934588,0.047626764,-0.031725824,0.064293414,-0.040151536,0.0018824041,-0.027141392,-0.021570325,0.05446902,0.053872705,0.054039598,-0.02676016,0.034282655,0.101738244,0.0025353134,0.030565977,0.05845645
ADBE,0.107064456,-0.00045472383,0.017402828,0.048997432,-0.0008907914,0.07848683,0.04948944,0.0031526387,0.07205635,0.02126342,0.024240166,0.041720092,0.07641232,0.07446283,0.07740083,0.070495725,0.04377696,0.10947329,0.10648066,0.07935643,0.051213264,0.033460975,0.11693141,0.052324474,0.048846483,0.017535806,0.10683054,0.07551989,0.04559779,-0.024015129,0.049959987,0.10366833,0.039423168,0.11359882,0.02312705,0.024676114,-0.015283704,0.09057161,0.048618972,0.05086282,-0.0021812916,0.07926059,0.031816155,0.010807186,0.050921887,0.107253104,0.06579664,0.0068915486,0.10234812,0.017000824,0.046824068,0.0047822893,-0.011076152,0.044101447,0.054884374,0.19842494,0.11158231,0.19696385,0.1294271,0.040101796,0.028654128,0.060416073
AMD,0.26976255,0.20166072,0.2284585,0.25414014,0.015716374,0.039650142,0.03936535,0.1925016,0.063143104,0.09981498,0.042333126,0.09583035,0.10124257,0.07031375,0.10580319,0.108918875,0.14728329,-0.024845123,0.15125519,-0.0134269595,0.36600542,0.17407715,0.40653107,0.038054556,-0.00834012,0.20588493,0.15341318,0.41442275,-0.0664798,0.20824534,0.0032535791,0.07785994,0.14393586,0.06872916,0.008498967,0.16457173,0.0029124618,0.21826267,0.22274244,0.049594402,0.06730273,-0.035222948,0.26487988,0.04484138,0.07289007,0.2902543,0.20797622,-0.06395447,0.07690641,-0.05432564,0.121242374,0.1436226,0.07521126,0.104554,0.06708351,0.33002308,0.30164862,0.16166079,0.15117988,0.0018628836,0.13584778,0.1423482
AMZN,0.10933122,0.09757444,0.08005467,0.038379997,0.011446118,0.10980466,0.02134341,-0.018684983,0.027360857,0.005478561,0.016767561,0.0058624446,0.0038892925,0.04257655,0.08202326,0.06059131,0.050625235,0.029060245,0.07670796,0.045935214,0.1356751,0.04313302,0.0905197,0.034906268,-0.048627913,0.028681964,0.09612194,0.018077046,-0.019853055,-0.009314656,-0.0154541135,0.05488503,0.01794666,0.036566883,0.004056871,-0.005563557,0.049480826,0.08130428,0.045866877,-0.0590564,0.06699625,-0.054797232,0.10971519,-0.022680283,0.05039859,0.17748263,0.08071101,-0.080105364,0.06847349,-0.03653997,0.07398966,0.084163934,0.042894274,0.17890501,0.086645156,0.15800065,0.093401134,0.055029243,0.026031792,0.0234029,0.05177203,0.043496072
ASML,0.12288028,0.072288126,0.060165793,0.089336455,-0.031596363,0.107179075,0.058969885,-0.022950113,0.065123916,0.043815166,0.06043634,0.053918123,0.04804474,0.0414055,0.13065279,0.11938915,0.13598326,0.02216345,0.09857273,0.08677742,0.0070694685,-0.021042109,0.13558653,-0.020516098,0.07876897,0.13621688,0.12939045,0.10486612,0.07295346,0.07595515,0.015451103,0.08793932,0.09649354,0.24666867,0.10497236,0.0639931,0.021579206,0.12332559,0.15771896,-0.14233238,0.09754479,-0.029785931,0.14005515,-0.035391867,-0.0031151175,0.27361357,0.086661965,0.08668584,0.10840121,0.06453854,0.06780502,0.04102263,-0.0016530156,0.03879887,0.07751021,-0.00797081,0.054471403,0.22166905,0.030826718,0.02138862,0.058619767,0.057920277
AVGO,0.016503543,-0.0036332011,0.10638741,-0.05110377,0.080762446,0.073192,-0.0056039095,-0.08215064,-0.034960747,-0.0011196733,-0.0095873475,0.03180304,0.0179016,-0.073418796,0.09110078,0.0934971,0.083734155,-0.043947697,0.061554283,0.08721393,0.035143465,0.08260766,0.14384118,0.07611978,0.05755791,0.0681203,0.07430136,0.117577106,0.077736706,0.047748387,-0.031683385,0.038506716,0.010786623,0.045614034,0.013705075,0.06987241,0.085085124,0.096850455,0.11366856,-0.044190466,0.060880005,-0.021224797,0.07750389,-0.021343648,-0.020988643,0.10632646,0.074412405,0.033872187,0.08143869,0.08911729,0.078103185,0.03828609,0.040883154,0.04760331,0.104513526,0.2940082,0.20189628,0.19629836,0.093141586,0.044510096,0.028995901,0.0962643
BAC,0.09722525,0.055945933,0.03158313,0.074005365,-0.06923658,0.033284515,0.081446975,-0.023803353,0.06798145,0.05659032,0.028101623,0.05859205,0.019491076,-0.010856569,0.11553255,0.11805788,0.13285398,0.0312894,-0.021072865,0.16195631,0.06511286,-0.0034464598,0.12546754,0.025525272,0.00028389692,0.09460166,0.1050345,0.15451515,0.07983923,0.06706059,0.04264164,0.043159872,0.02135408,0.063997656,0.016480088,0.056953758,0.03306362,0.11245045,0.081459194,0.037328124,0.010048211,-0.013372779,-0.015248656,-0.019200742,0.013707489,0.07623145,-0.09494656,0.054403573,0.069414735,-0.06369889,0.013683915,0.19645128,0.14737332,-0.0024062395,-0.0049849153,-0.009590626,-0.022929907,0.068196714,0.037759513,0.011865735,0.1372472,0.0020694733
