,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02
AAPL,0.015781064398651404,0.005003068772260555,0.0029843609421456837,0.0016927956167034608,0.0005955719812318745,0.007158060758710945,0.008585081963142146,0.0018494303698228004,0.001941099337464338,0.00025671771830616265,0.001534614735664938,0.000645282057701166,0.0009472643312528081,0.0007998195695617677,0.001715034841922095,0.019337270941658408,0.009698039102432146,0.0015279752158648368,0.012475517434966586,0.009146863803522785,0.0060484882015471,0.008391289595691319,0.014323209336176639,0.035469790360823435,0.005205463226469127,0.0014441593827952375,0.004203619245350492,0.01719785554577009,0.003048125430361829,0.0008655550511270564,0.007000435567811714,0.002068136144051874,0.0006059056845572177,0.0007504553419386125,0.0032251106673466907,0.0009160141670889283,0.0020550533192464516,0.008324497772456054,0.003939870136381026,0.003156803391467617,0.0021365824534705083,0.005304518140685129,0.002955282665763119,0.00389197460289739,0.0052764181940069136,0.009459201318850186,0.0025048369894064924,0.003021618531185962,0.005188180432864739,0.006546335716901096,0.0017358463855758613,0.0008392736767474099,0.00044121541605158826,0.0008942437510675369,0.0010122617558452282,0.0005303889454126086,0.007353188903085497,0.005458730038613628,0.0013670647062416733,0.0011222155675268007,0.0006557446669784466,0.0006809041795549789
ABBV,0.0015096399916510541,0.0043202982353721655,0.005772908507586836,0.0015825209145300023,0.0008495908551472035,0.0008889302808660648,0.0027265374971816463,0.0032347666111476343,0.004363743056105648,0.003929363240950241,0.0013128213488340632,0.0010047075263793395,0.005855208463524782,0.002912517720393029,0.0018679998259135708,0.028959455828429393,0.021965752376241942,0.0023955550444884877,0.0025423546896028455,0.0028805795138173804,0.0016840514271420724,0.001207937285246065,0.0006403651248429077,0.010797675439744138,0.003963708508581274,0.0022296901420527544,0.0034934234420678357,0.004659338364064837,0.0018731939884425082,0.0009676518143430224,0.0007647143214404544,0.0003158794285187267,0.0004010702289836664,0.004656381886454883,0.0023526679005006217,0.0016065489815571103,0.0018534789794206986,0.0025849527537002274,0.0011757157288699196,0.0005122318185950444,0.00477781443587406,0.014571150955690717,0.007865348279934629,0.001315625146284891,0.004961032409015747,0.002101835613904051,0.001374532324640482,0.00040506895323676753,0.0009119198086516221,0.0019726881988022097,0.0023046765531063358,0.00045426646676372293,0.0005886155489161971,0.0057036184482231935,0.00415857823453424,0.001836573315004042,0.005845351377782099,0.0009640777387838182,0.0022828617701244744,0.0046746104865376895,0.0031128354462554774,0.0006878911180412746
ABT,0.0008965827054673709,0.002549070352071504,0.000903178604595754,0.0005422126421743105,0.0027225120863109313,0.004249799057237553,0.0014020252730858771,0.00039297067860059225,0.0010550827690930234,0.004230876174370271,0.006408828759805058,0.0007662089846386397,0.0002307700975221779,0.00016292710272590327,0.0013438165823750536,0.007346513700775982,0.016059375387340723,0.008882804388111901,0.0026046531755947967,0.0035539692787981306,0.0013994332218758118,0.0011083297834467434,0.00127896253897679,0.0008979056180375928,0.0022880829642237073,0.0009691950508065663,0.0014699792382525945,0.007514285333053183,0.0012161955390134292,0.002838719113658116,0.010052532384830304,0.002321569215627579,0.0016756088655411172,0.004421387990539198,0.003660489397358161,0.002133359526065128,0.0015506501576544962,0.004524762658431446,0.008920546144209911,0.005115908735395111,0.0009763635214816927,0.002143428689418974,0.0012474309777159686,0.0002789588154160705,0.0003703699535586753,0.0007756585310949917,0.0009187860120974171,0.0012045779547032408,0.0010014205746843906,0.00029386656062482385,0.0029233886700858846,0.005293559283546177,0.002031583230237574,0.002709432505050794,0.0019192880890776236,0.0005831614349391341,0.0006936212464516686,0.0011225109319814163,0.006243624208485501,0.0026189022611480296,0.0012648086634501731,0.0005308349381047888
ACN,0.0018830457666182806,0.0035690482649057627,0.0015245406676286028,0.0005701923015105085,0.0009226064804113712,0.0016572329415193065,0.0022476330163745772,0.0003521048151160108,0.0004077012989043686,0.0017769357288822277,0.00341171531089002,0.0009702688967424855,0.00015061459747792212,0.0004933018360177183,0.0012861741886384885,0.021406798540752683,0.004933628452594723,0.0017998156320543795,0.008253284451603877,0.007677193699479732,0.0007134236568200356,0.0006750352373224095,0.0020089888317882687,0.0020368341512787083,0.000844135392428676,0.0010029843449306454,0.0013321290463752936,0.002284618249085286,0.0007983111006577997,0.0006183276500795236,0.0002443499942930242,0.000991391396066907,0.00019261904483856477,0.0008350165907987711,0.0033216863357283617,0.0012708649176870288,0.0019944669447758217,0.008406096046994237,0.019951572924435713,0.004489598457851275,0.0019525854201432335,0.0028353694938167058,0.002049865310185934,0.004139353222275874,0.0013611775854747035,0.001990263613956814,0.0040823715381893486,0.001684000493393119,0.002016259473041737,0.001267925118442261,0.0012047935880597665,0.0015177848408554967,0.0018747824006416205,0.002348506905895608,0.0042695367550098,0.007645004213924487,0.0006559440423965031,0.0010709449559045427,0.003174618092065285,0.001617650734693446,0.001460311826301868,0.0005963015636430522
ADBE,0.0029033724213940247,0.0020172240783434634,0.001474221227518954,0.0008660900673107962,0.0008573632628031763,0.0018462726604703027,0.002152121765683211,0.0009157901610154154,0.005608724220154733,0.006441666776959231,0.0016297522961365887,0.001917615630379038,0.0006522462735187961,0.00032682716656085416,0.001244674079213859,0.012869933671736349,0.00537936048548631,0.0009567396222940397,0.006387590333835632,0.012016355863934626,0.003457782669533618,0.0037392641852058827,0.008497059179253986,0.013658282160578553,0.0025303528775330966,0.0014822271383722427,0.00158636656725402,0.01271691841756632,0.004985483481867637,0.0018780718307493938,0.005649270577406136,0.0035903241694131166,0.0006361272553974292,0.002228957827564568,0.008200939509308551,0.0012903500361869517,0.005974599234245773,0.018520578497922276,0.01807647341357599,0.006811889083068342,0.003300604007478097,0.003984999918785986,0.00336281402464767,0.004207245157600462,0.005527011194505185,0.027170015724795413,0.02821430170564695,0.0033522467392756313,0.0028571458154291484,0.0006477206432341954,0.002781348693797488,0.005272562782540054,0.00396824793629534,0.0033461996632697956,0.01994715928765505,0.012350504575461376,0.0070936846902068225,0.005581753033232808,0.005032340557665054,0.002194283424211142,0.0016961673358479596,0.0013822264172382364
AMD,0.018027598257862962,0.009562719340367792,0.007514362938277846,0.029593233123422196,0.004404074109338007,0.01242991729169063,0.009995851043636837,0.0032001258514082,0.007520165433093013,0.010072308500897709,0.005441893616012069,0.005414997525140613,0.002987239040841948,0.0023669110011836124,0.005038214981152987,0.013271563902837097,0.020979492863108913,0.003707013619913705,0.01676951626854753,0.016545391227834553,0.020069837418513748,0.018128830960646238,0.0641637092300023,0.030877212272805835,0.00243765488695121,0.002238548019627202,0.022966241515591405,0.09689229921831047,0.014521402901207674,0.004606299333550628,0.0025635443899890338,0.0022465303441016713,0.0043316362076187736,0.014110240134767797,0.003706189656139075,0.013842307167994799,0.013773546845770238,0.033763268601001706,0.027352634914057428,0.014716382918963534,0.022601972714655378,0.02394830355851613,0.011319804380612548,0.018964995538528387,0.01656791579796987,0.042354956028362964,0.11531418201077519,0.023548114352535208,0.017893954133837122,0.006816161547215227,0.0055244930762776865,0.011417485897650806,0.02776598760785826,0.021334588238260083,0.019741860416698974,0.07256695900775734,0.06714369979355932,0.013657232415082004,0.009253833379480526,0.009555743795737932,0.006748527410526314,0.0034607451937208674
AMZN,0.0038210345045047935,0.0048137726417147265,0.008228117975850102,0.00198888930888382,0.0019108780590866906,0.005190576771224975,0.0029322502474560096,0.000747205336931373,0.0042534890290778955,0.00251685559973471,0.002641341371569257,0.0004737362612163303,0.00028497414217023534,0.000525150527096047,0.0017492904203553572,0.011318312548098714,0.009755965232027233,0.0013786058772671118,0.003419166453448082,0.006525068853654295,0.004187224958457667,0.01197655756410474,0.006841178399337896,0.005035866047039905,0.001417122308561994,0.0005116041434797499,0.002588271576376581,0.003535922071266493,0.0026637976674273693,0.0011334659113777866,0.001750903094768149,0.0016190683420864134,0.007728906002363882,0.0013018900088701474,0.00502281257901952,0.000742318294571917,0.0012737894508197797,0.010596562346339222,0.009251606467785143,0.005344959953163348,0.00596830710988927,0.030780006658104504,0.006045988133766709,0.005287029321624092,0.008093609713570147,0.008601275525991523,0.007782270560548791,0.043568818953574694,0.010711511137432928,0.0069046964660807245,0.007804277211352403,0.003491904896288871,0.003846429098123017,0.006123969852150072,0.004896151161762528,0.018067200669254012,0.005813600073453586,0.001951290628857166,0.00536478972770908,0.0016359587444646833,0.0007585306193449944,0.00036226620620196667
ASML,0.007778882671579481,0.005811805977991049,0.0056564970521211485,0.010029759735347388,0.0011829893590187377,0.005426996047360031,0.007551987586202089,0.0012557711886183377,0.00442465723495126,0.0016502072361955478,0.0014103744674958437,0.0007209562589667242,0.0010902716770540505,0.0009797465558921603,0.0008625398902104184,0.023058955730705835,0.021794061707168275,0.005278300521470065,0.009291260175337837,0.010932935740296116,0.007005153848736097,0.0008568811590589975,0.0016195070683697604,0.0030674636924310026,0.001815394543205604,0.0012101470722488369,0.0025947275724130412,0.014479656764133047,0.004656036898046689,0.0034189775371878026,0.0009605949204276292,0.00413904842122726,0.0007625600636673952,0.0031235325530810667,0.030387720501466698,0.004591187446571446,0.00875144625328595,0.01804648123339043,0.025042920954478753,0.004036403869483542,0.005540608872515087,0.004932261635995221,0.004596644194963303,0.008948742771525848,0.009734012999979332,0.007349103981380152,0.02104598557251796,0.013439249569598126,0.013552702895958597,0.002938230233073082,0.00882442234404799,0.0038096157338464985,0.010095504888395689,0.006637527875575318,0.002938877337642966,0.00531005244568012,0.008791472288205716,0.008922560987816032,0.0021309889585752278,0.005581204835121938,0.0024169247770359625,0.0032537972072074796
AVGO,0.0017243574022526393,0.0010886526497716682,0.0033160847427070655,0.0012069581561767752,0.0012864863753651392,0.019504569580461355,0.017154838321300377,0.005256526240401227,0.0041971497252279175,0.0017167030563635774,0.0015603373193204498,0.001327893687510583,0.0008960555580224379,0.0011073748219950883,0.001758176872015081,0.02794951059048176,0.02428585226563807,0.008226795989491286,0.012915484033207901,0.019467443788742687,0.0017789359008824523,0.001179264162523788,0.0012437874866701776,0.0024939266793401506,0.001694250167336366,0.000517039983851744,0.0004036984489009581,0.008492740081800666,0.0020546462988865373,0.008586624825524317,0.0012534000217885501,0.00040518412270904844,0.0002202210905899378,0.0007211158871834604,0.0008938217700232863,0.0018138401568377493,0.003040465398333421,0.017792458738697448,0.02092924358189955,0.004000290782117284,0.0032774607294131226,0.00269302957067192,0.004798316031917844,0.004901482258592429,0.0026231031816916625,0.005176188620275322,0.009133816528952916,0.005607242594367894,0.001443601639304101,0.0013165639313105382,0.0011827413799288557,0.0009188350069670414,0.0015126729714452294,0.00548993146286019,0.015067555858936835,0.035830563167903826,0.01874079542456358,0.017031038716020148,0.00565988357874454,0.004745740605061683,0.005317861782866787,0.003191230937636799
BAC,0.004078832429287375,0.009824085959164132,0.007008929338306224,0.0038669544432706287,0.001148705391106577,0.001156395006972444,0.005592495095684337,0.0007031417138788357,0.008123241395734037,0.002945326012375758,0.002396457229237324,0.001575523337228136,0.00034708250436371146,0.000575757319463277,0.0008728195652515293,0.04401645081734439,0.01828454004065014,0.006680842344229678,0.010103611499678592,0.03695628249639852,0.00335856480689131,0.004646115018999926,0.0028152309739856336,0.004799775284200758,0.0022718907036855043,0.0019154537743129101,0.0019951981411428133,0.0025430166136358543,0.004391083390402677,0.001828344074244225,0.0015910810259264013,0.007588191085533229,0.0013592543958148198,0.0012058805507859426,0.002139885398808958,0.002447640374039615,0.004164064246425455,0.002266149715238395,0.0026222476383882466,0.012895457776216798,0.0026648502357753934,0.0036465155172650298,0.00247874884275106,0.0032074921285848083,0.002694769530366887,0.0010453506593674899,0.004074427063602381,0.0033942865208047867,0.006160066168225304,0.0014995854497264036,0.0013560686312727168,0.021595658985939722,0.02688423893321583,0.0046371456121819385,0.0017475305898439508,0.0025303989510448905,0.005176810716316489,0.005541965319241878,0.0059955635599265086,0.0035732257257161605,0.00539741276404849,0.001212453231210418
